episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,-0.708970,0.999758,0.005041,0.890836,141,0.003204,10,1.000000,1207,1345,-0.029247,0.953962,0.976710,0.015625,-10.452068,5.040445,0.000300
2,-0.682671,0.999456,0.004975,0.897627,131,0.000514,10,1.000000,1193,1357,-0.027689,0.689551,0.830392,0.046875,-9.914912,4.358748,0.000300
3,-0.652605,0.999582,0.004874,0.876137,131,0.000301,10,1.000000,1207,1338,-0.025623,0.599086,0.774007,0.066406,-9.531247,3.399408,0.000300
4,-0.528885,0.999671,0.004683,0.807148,138,0.001878,10,1.000000,1195,1348,-0.027659,0.525561,0.724956,0.054688,-7.660638,2.419285,0.000300
5,-0.454048,0.999751,0.004611,0.748573,133,0.002614,10,1.000000,1144,1403,-0.026867,0.708014,0.841436,0.050781,-6.481439,2.209279,0.000300
6,-0.509599,0.999209,0.004758,0.765754,131,0.005575,10,1.000000,1222,1322,-0.022769,0.282424,0.531436,0.011719,-7.152263,3.877360,0.000300
7,-0.520401,0.999787,0.004714,0.792398,122,0.007859,10,1.000000,1195,1350,-0.019777,0.488826,0.699161,0.019531,-7.431962,2.904653,0.000300
8,-0.535099,0.999379,0.004636,0.758653,124,0.011795,10,1.000000,1192,1356,-0.016876,0.363020,0.602512,0.000000,-7.580107,3.318963,0.000300
9,-0.403875,0.999463,0.004551,0.691453,117,0.017751,10,1.000000,1209,1329,-0.006508,0.373359,0.611031,0.031250,-5.573836,2.362029,0.000300
10,-0.431640,0.999638,0.004413,0.715017,121,0.061757,10,1.000000,1088,1453,0.033213,0.665427,0.815737,0.035156,-6.114175,2.206749,0.000240
11,-0.394735,0.999379,0.004427,0.679776,118,0.061185,10,1.000000,1045,1497,0.036118,0.425675,0.652438,0.015625,-5.464102,2.273934,0.000192
12,-0.467443,0.999613,0.004532,0.728227,121,0.078999,10,1.000000,1068,1474,0.045865,0.439608,0.663029,0.023438,-6.648741,2.416930,0.000154
13,-0.414884,0.999691,0.004375,0.710338,119,0.082398,10,1.000000,1026,1517,0.032789,0.444904,0.667011,0.031641,-5.793439,2.196176,0.000123
14,-0.491974,0.999210,0.004529,0.751588,121,0.096262,10,1.000000,1006,1541,0.036235,0.361930,0.601606,0.000000,-6.884634,3.456538,0.000100
15,-0.433315,0.999637,0.004462,0.728705,122,0.093584,10,1.000000,1080,1459,0.046690,0.437380,0.661347,0.042969,-6.133417,2.008005,0.000100
16,-0.376632,0.999867,0.004378,0.685146,118,0.087109,10,1.000000,1070,1473,0.045189,0.514054,0.716975,0.035156,-5.263453,1.873698,0.000100
17,-0.476042,0.999623,0.004439,0.753726,120,0.091198,10,1.000000,1087,1449,0.021782,0.464019,0.681189,0.035156,-6.747649,2.523178,0.000100
18,-0.420402,0.999763,0.004437,0.705395,118,0.093393,10,1.000000,990,1553,0.069700,0.659040,0.811813,0.035156,-5.964652,2.111013,0.000100
19,-0.433050,0.999553,0.004380,0.699633,120,0.094889,10,1.000000,1035,1502,0.070439,0.395465,0.628860,0.025781,-5.983850,2.658789,0.000100
20,-0.430796,0.999817,0.004430,0.709556,122,0.099997,10,1.000000,1031,1502,0.060916,0.610534,0.781367,0.019531,-6.127735,2.211458,0.000100
21,-0.435539,0.999502,0.004348,0.684167,111,0.103723,10,1.000000,972,1569,0.049317,0.607280,0.779282,0.011719,-6.080254,2.574185,0.000100
22,-0.448174,0.999687,0.004434,0.711998,123,0.113398,10,1.000000,1014,1520,0.043559,0.373504,0.611150,0.011719,-6.205617,3.019033,0.000100
23,-0.545145,0.999795,0.004490,0.779743,116,0.113532,10,1.000000,954,1583,0.041723,0.445788,0.667673,0.039062,-7.911644,2.346948,0.000100
24,-0.415233,0.999618,0.004409,0.681982,114,0.117462,10,1.000000,935,1603,0.062522,0.401652,0.633760,0.015625,-5.826216,2.213646,0.000100
25,-0.445520,0.999500,0.004432,0.705861,114,0.127181,10,1.000000,921,1625,0.064264,0.490807,0.700576,0.014062,-6.294463,2.373298,0.000100
26,-0.443020,0.999868,0.004330,0.735052,110,0.119020,10,1.000000,904,1636,0.080003,0.985073,0.992509,0.015625,-6.402715,2.047711,0.000100
27,-0.452919,0.999526,0.004415,0.719994,116,0.114454,10,1.000000,920,1619,0.054226,0.384165,0.619811,0.011719,-6.278837,2.872556,0.000100
28,-0.474163,0.999505,0.004409,0.723848,117,0.127399,10,1.000000,920,1611,0.045277,0.449585,0.670511,0.027344,-6.743516,2.240910,0.000100
29,-0.521206,0.999774,0.004367,0.779061,115,0.129483,10,1.000000,886,1643,0.040152,0.445162,0.667205,0.023438,-7.509451,2.217979,0.000100
30,-0.510055,0.999724,0.004450,0.776962,108,0.124913,10,1.000000,857,1672,0.084157,0.316938,0.562972,0.000000,-7.241166,2.832662,0.000100
31,-0.500806,0.999698,0.004351,0.755681,118,0.119609,10,1.000000,824,1714,0.081913,0.246312,0.496298,0.011719,-7.176797,2.524634,0.000100
32,-0.501909,0.999645,0.004371,0.748725,114,0.124259,10,1.000000,793,1740,0.081737,0.704181,0.839155,0.011719,-7.234622,2.322741,0.000100
33,-0.465946,0.999711,0.004346,0.717301,120,0.130447,10,1.000000,819,1716,0.066221,0.508914,0.713382,0.015625,-6.644079,2.104680,0.000100
34,-0.575885,0.999799,0.004349,0.800394,116,0.117910,10,1.000000,746,1790,0.079910,0.656284,0.810114,0.027344,-8.443910,2.166819,0.000100
35,-0.425227,0.999901,0.004283,0.706512,111,0.135692,10,1.000000,810,1726,0.095519,0.768695,0.876752,0.015625,-6.098655,1.731942,0.000100
36,-0.500547,0.999732,0.004305,0.743025,107,0.141684,10,1.000000,791,1744,0.097797,0.485110,0.696499,0.015625,-7.175231,2.289357,0.000100
37,-0.569467,0.998919,0.004472,0.801737,120,0.121541,10,1.000000,832,1705,0.073314,0.459443,0.677823,0.027344,-8.152210,2.610307,0.000100
38,-0.488711,0.999901,0.004251,0.753324,108,0.129716,10,1.000000,775,1757,0.088269,0.334392,0.578267,0.015625,-6.999171,2.325570,0.000100
39,-0.456674,0.999829,0.004223,0.727126,107,0.138174,10,1.000000,763,1759,0.067046,0.403952,0.635572,0.027408,-6.518473,1.998734,0.000100
40,-0.475452,0.999706,0.004273,0.725645,105,0.120160,10,1.000000,680,1843,0.096621,0.501409,0.708102,0.027344,-6.882365,2.088084,0.000100
41,-0.539738,0.999661,0.004255,0.777448,104,0.141144,10,1.000000,710,1819,0.100401,0.710900,0.843149,0.019531,-7.843266,2.324647,0.000100
42,-0.550674,0.999772,0.004299,0.785421,110,0.144060,10,1.000000,663,1872,0.099193,0.558908,0.747602,0.015625,-7.998029,2.679498,0.000100
43,-0.533436,0.999808,0.004331,0.769780,103,0.128906,10,1.000000,676,1864,0.083837,0.340923,0.583886,0.031250,-7.825658,1.919388,0.000100
44,-0.578143,0.999793,0.004238,0.803843,104,0.146086,10,1.000000,627,1904,0.071191,0.478507,0.691742,0.035156,-8.463057,2.089754,0.000100
45,-0.460648,0.999873,0.004262,0.713180,109,0.131280,10,1.000000,654,1879,0.094170,0.777842,0.881954,0.031250,-6.753119,1.811661,0.000100
46,-0.562457,0.999731,0.004269,0.787641,103,0.153766,10,1.000000,644,1888,0.109641,0.442946,0.665542,0.035156,-8.271391,2.413548,0.000100
47,-0.590065,0.999841,0.004176,0.801481,106,0.139741,10,1.000000,575,1945,0.086253,0.579714,0.761389,0.039062,-8.757853,2.087351,0.000100
48,-0.547827,0.999808,0.004256,0.764131,108,0.142326,10,1.000000,593,1939,0.101063,0.469284,0.685043,0.019531,-7.959853,2.622991,0.000100
49,-0.551753,0.999574,0.004220,0.781977,104,0.112726,10,1.000000,614,1913,0.088618,0.417503,0.646145,0.031250,-8.038164,2.022738,0.000100
50,-0.577419,0.999734,0.004246,0.797560,102,0.122387,10,1.000000,533,2008,0.080461,0.376227,0.613373,0.027344,-8.443872,2.050706,0.000100
51,-0.554078,0.999604,0.004259,0.790951,107,0.109242,10,1.000000,548,1979,0.078726,0.342384,0.585136,0.019531,-8.015071,2.601625,0.000100
52,-0.605739,0.999693,0.004245,0.799854,105,0.114694,10,1.000000,538,1994,0.098107,0.406195,0.637334,0.035156,-8.886191,2.628370,0.000100
53,-0.632076,0.999703,0.004334,0.819719,104,0.105747,10,1.000000,460,2087,0.100217,0.829828,0.910949,0.034766,-9.319740,2.327436,0.000100
54,-0.577198,0.999815,0.004231,0.784447,107,0.117975,10,1.000000,512,2016,0.075551,0.349548,0.591226,0.042969,-8.530458,1.999023,0.000100
55,-0.577006,0.999773,0.004272,0.806608,106,0.107174,10,1.000000,501,2022,0.100949,0.363303,0.602746,0.024609,-8.495543,2.244197,0.000100
56,-0.631226,0.999934,0.004208,0.819577,108,0.093681,10,1.000000,484,2056,0.084556,0.403949,0.635570,0.038672,-9.402359,2.177721,0.000100
57,-0.553153,0.999574,0.004149,0.755768,105,0.125698,10,1.000000,461,2076,0.073918,0.651869,0.807384,0.031250,-8.100786,1.841718,0.000100
58,-0.603980,0.999878,0.004129,0.810326,106,0.118980,10,1.000000,415,2127,0.045052,0.729513,0.854115,0.053125,-9.067338,1.665318,0.000100
59,-0.574934,0.999879,0.004224,0.804174,104,0.093534,10,1.000000,459,2078,0.064478,0.543246,0.737052,0.039062,-8.604039,1.737683,0.000100
60,-0.685556,0.999871,0.004206,0.862106,102,0.102671,10,1.000000,427,2114,0.059695,0.612343,0.782524,0.042969,-10.225719,2.384999,0.000100
61,-0.551747,0.999787,0.004272,0.789939,107,0.107025,10,1.000000,395,2136,0.067594,0.500932,0.707765,0.032812,-8.130506,2.056210,0.000100
62,-0.667601,0.999812,0.004193,0.844553,102,0.095249,10,1.000000,404,2130,0.047519,0.414119,0.643521,0.039062,-9.981549,2.075070,0.000100
63,-0.658310,0.999826,0.004149,0.823972,101,0.095462,10,1.000000,384,2161,0.048844,0.618123,0.786208,0.050781,-9.978174,2.017803,0.000100
64,-0.686865,0.999743,0.004298,0.869962,104,0.082172,10,1.000000,419,2124,0.063256,0.364358,0.603621,0.039062,-10.218373,2.649481,0.000100
65,-0.734233,0.999607,0.004283,0.866551,103,0.079516,10,1.000000,350,2185,0.042016,0.540559,0.735227,0.050781,-11.119043,2.010813,0.000100
66,-0.726387,0.999840,0.004175,0.876428,100,0.101714,10,1.000000,339,2203,0.036930,0.408578,0.639201,0.046875,-10.948957,2.124015,0.000100
67,-0.723022,0.999760,0.004197,0.877403,102,0.092529,10,1.000000,328,2210,0.040494,0.488793,0.699138,0.046875,-10.999982,2.121776,0.000100
68,-0.695035,0.999853,0.004225,0.879202,100,0.068008,10,1.000000,327,2220,0.058059,0.505919,0.711280,0.039062,-10.444671,2.179135,0.000100
69,-0.680725,0.999740,0.004220,0.832709,102,0.073980,10,1.000000,368,2162,0.040661,0.609946,0.780990,0.042969,-10.234344,2.058953,0.000100
70,-0.672281,0.999663,0.004154,0.845309,102,0.071434,10,1.000000,346,2195,0.042289,0.535233,0.731596,0.046875,-10.130788,1.992435,0.000100
71,-0.645682,0.999628,0.004172,0.832310,103,0.065910,10,1.000000,341,2194,0.047930,0.648285,0.805162,0.044531,-9.619688,1.985841,0.000100
72,-0.678382,0.999769,0.004183,0.830587,102,0.067090,10,1.000000,320,2220,0.041719,0.830618,0.911383,0.039062,-10.293697,2.230148,0.000100
73,-0.691203,0.999800,0.004139,0.873217,104,0.057329,10,1.000000,308,2226,0.052483,0.585088,0.764911,0.046875,-10.513604,2.227743,0.000100
74,-0.714674,0.999785,0.004191,0.869754,100,0.065411,10,1.000000,320,2216,0.023710,0.485142,0.696521,0.057422,-10.796457,2.034909,0.000100
75,-0.666253,0.999780,0.004255,0.820955,101,0.065074,10,1.000000,319,2217,0.023439,0.684266,0.827204,0.042969,-10.024142,2.096327,0.000100
76,-0.733705,0.999698,0.004153,0.881675,99,0.037274,10,1.000000,295,2235,0.023187,0.525853,0.725157,0.061328,-11.069998,2.457304,0.000105
77,-0.693896,0.999729,0.004359,0.878035,100,0.040913,10,1.000000,289,2238,0.017364,0.458535,0.677152,0.058594,-10.297642,2.100304,0.000110
78,-0.793087,0.999561,0.004228,0.911212,99,0.031997,10,1.000000,268,2259,0.012939,0.610346,0.781247,0.050781,-12.069693,2.450900,0.000116
79,-0.742676,0.999734,0.004188,0.875004,102,0.024066,10,1.000000,270,2260,0.016700,0.490006,0.700004,0.054688,-11.264647,1.962483,0.000133
80,-0.710075,0.999841,0.004259,0.876298,100,0.022895,10,1.000000,251,2296,0.016833,0.450343,0.671076,0.050781,-10.793681,1.723040,0.000153
81,-0.814403,0.999888,0.004177,0.938731,99,0.020353,10,1.000000,230,2298,0.010395,0.524744,0.724392,0.066406,-12.439053,2.482795,0.000176
82,-0.813146,0.999859,0.004190,0.926035,99,0.016063,10,1.000000,215,2330,0.008519,0.477394,0.690937,0.050781,-12.470949,2.197759,0.000202
