episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,-0.721971,0.999185,0.005115,0.905789,164,0.001493,10,1.000000,1277,1270,-0.028864,0.695987,0.834258,0.101562,-10.609922,4.231142,0.000300
2,-0.644195,0.999580,0.004917,0.875148,133,0.001395,10,1.000000,1211,1335,-0.027341,0.657601,0.810926,0.085938,-9.411692,3.740783,0.000300
3,-0.644054,0.999435,0.004926,0.880094,134,0.000514,10,1.000000,1176,1374,-0.027055,0.734282,0.856903,0.085938,-9.498915,3.601673,0.000300
4,-0.656102,0.999467,0.004939,0.860150,152,0.000766,10,1.000000,1135,1406,-0.026800,0.842575,0.917919,0.046875,-9.580375,4.529664,0.000300
5,-0.635036,0.999177,0.004879,0.881028,139,0.006778,10,1.000000,1123,1405,-0.028750,0.674308,0.821163,0.074219,-9.253775,3.776454,0.000300
6,-0.588921,0.999595,0.004893,0.836284,139,0.002851,10,1.000000,1118,1420,-0.023475,0.621501,0.788353,0.088281,-8.552706,3.659815,0.000300
7,-0.573964,0.999448,0.004835,0.817432,124,0.006464,10,1.000000,1088,1456,-0.022883,0.655876,0.809862,0.066406,-8.323472,3.628380,0.000300
8,-0.545928,0.999533,0.004520,0.792916,113,0.007065,10,1.000000,953,1579,-0.018651,0.424012,0.651162,0.046875,-7.882095,3.473449,0.000300
9,-0.579627,0.999397,0.004588,0.800784,110,0.010567,10,1.000000,944,1588,-0.012241,0.861451,0.928144,0.078156,-8.398813,3.134459,0.000300
10,-0.551597,0.999759,0.004488,0.820002,113,0.015938,10,1.000000,821,1717,-0.006323,0.539284,0.734360,0.066406,-8.083858,2.845423,0.000300
11,-0.518011,0.999433,0.004434,0.756346,106,0.056464,10,1.000000,728,1804,0.025315,0.494707,0.703354,0.039062,-7.486121,2.926851,0.000240
12,-0.523274,0.999589,0.004423,0.782334,112,0.051061,10,1.000000,723,1808,0.032070,0.451047,0.671600,0.039062,-7.569336,3.167187,0.000192
13,-0.549735,0.999588,0.004391,0.772786,106,0.069194,10,1.000000,625,1904,0.025858,0.601945,0.775851,0.062500,-8.027210,2.701582,0.000154
14,-0.594459,0.999617,0.004375,0.808505,105,0.074230,10,1.000000,588,1946,0.040063,0.707893,0.841363,0.085938,-8.932446,2.337186,0.000123
15,-0.606527,0.999764,0.004319,0.818358,114,0.083333,10,1.000000,586,1940,0.028387,0.709300,0.842200,0.093750,-9.061873,2.625612,0.000100
16,-0.535696,0.999603,0.004283,0.773175,107,0.059602,10,1.000000,615,1918,0.049151,0.599867,0.774511,0.070312,-7.908891,2.208877,0.000100
17,-0.526735,0.999712,0.004356,0.783731,111,0.083934,10,1.000000,592,1934,0.036952,0.497180,0.705110,0.058594,-7.708250,2.548989,0.000100
18,-0.527761,0.999719,0.004308,0.778247,110,0.086393,10,1.000000,604,1923,0.036107,0.634590,0.796612,0.070312,-7.696191,2.740732,0.000100
19,-0.632082,0.999284,0.004407,0.845579,108,0.089330,10,1.000000,578,1955,0.047790,0.587770,0.766662,0.055859,-9.308122,3.102939,0.000100
20,-0.534550,0.999759,0.004296,0.784330,104,0.087164,10,1.000000,580,1945,0.035694,0.604837,0.777713,0.066406,-7.845822,2.645539,0.000100
21,-0.589765,0.999657,0.004277,0.799499,105,0.089233,10,1.000000,528,2000,0.024262,0.565130,0.751751,0.074219,-8.758525,2.272894,0.000100
22,-0.665070,0.999560,0.004419,0.851914,111,0.090223,10,1.000000,546,1988,0.054284,0.596514,0.772343,0.062500,-9.926596,3.061647,0.000100
23,-0.614655,0.999872,0.004265,0.836421,103,0.103610,10,1.000000,504,2028,0.044308,0.528836,0.727211,0.066406,-9.218990,2.400211,0.000100
24,-0.662940,0.999721,0.004341,0.870437,104,0.107846,10,1.000000,503,2037,0.060392,0.505803,0.711198,0.050781,-10.017226,2.565651,0.000100
25,-0.591592,0.999814,0.004401,0.813125,100,0.087773,10,1.000000,498,2037,0.052928,0.546347,0.739153,0.074219,-8.759233,3.057610,0.000100
26,-0.592543,0.999635,0.004236,0.801004,102,0.104967,10,1.000000,486,2049,0.039610,0.582313,0.763094,0.062500,-8.889931,1.928779,0.000100
27,-0.569002,0.999682,0.004244,0.774560,100,0.095296,10,1.000000,492,2032,0.072266,0.748570,0.865199,0.050781,-8.598600,1.939000,0.000100
28,-0.556160,0.999707,0.004273,0.799524,121,0.109971,10,1.000000,492,2035,0.043212,0.730518,0.854703,0.078125,-8.307839,2.213342,0.000100
29,-0.656168,0.999513,0.004302,0.841684,102,0.099649,10,1.000000,441,2087,0.052733,0.573843,0.757524,0.078125,-9.826629,2.612919,0.000100
30,-0.603941,0.999753,0.004418,0.819112,104,0.108014,10,1.000000,486,2043,0.081349,0.533705,0.730551,0.066406,-9.006260,3.266548,0.000100
31,-0.713019,0.999412,0.004324,0.872096,103,0.127141,10,1.000000,389,2141,0.030864,0.629521,0.793424,0.085938,-10.715234,2.655837,0.000100
32,-0.634254,0.999586,0.004387,0.823761,102,0.105657,10,1.000000,460,2078,0.064432,0.578398,0.760525,0.082095,-9.429258,2.842486,0.000100
33,-0.629367,0.999748,0.004312,0.823832,106,0.108049,10,1.000000,410,2135,0.052246,0.570995,0.755642,0.070312,-9.579077,1.942523,0.000100
34,-0.707672,0.999709,0.004376,0.896807,105,0.099986,10,1.000000,432,2098,0.078769,0.559454,0.747967,0.074219,-10.750029,2.656405,0.000100
35,-0.783623,0.999593,0.004397,0.912318,106,0.115308,10,1.000000,404,2137,0.063751,0.620821,0.787922,0.086719,-11.909605,2.814964,0.000100
36,-0.663773,0.999608,0.004292,0.841591,101,0.128250,10,1.000000,413,2114,0.054408,0.604930,0.777773,0.085938,-10.001707,2.368947,0.000100
37,-0.711478,0.999575,0.004416,0.881495,102,0.132023,10,1.000000,384,2150,0.063505,0.628252,0.792624,0.085938,-10.776911,2.615418,0.000100
38,-0.710675,0.999761,0.004372,0.886340,101,0.132083,10,1.000000,372,2157,0.097408,0.697543,0.835190,0.074219,-10.827621,2.878787,0.000100
39,-0.676919,0.999751,0.004303,0.873715,104,0.119324,10,1.000000,379,2153,0.083136,0.567883,0.753580,0.062500,-10.359313,2.156988,0.000100
40,-0.750339,0.999715,0.004258,0.893555,105,0.139896,10,1.000000,348,2183,0.091930,0.636409,0.797753,0.073047,-11.466446,2.581781,0.000100
41,-0.638248,0.999715,0.004277,0.827220,103,0.123167,10,1.000000,377,2148,0.113599,0.601265,0.775413,0.062500,-9.631187,2.729009,0.000100
42,-0.733329,0.999784,0.004356,0.880186,103,0.117753,10,1.000000,334,2198,0.082389,0.558016,0.747005,0.058594,-11.378578,2.224090,0.000100
43,-0.714662,0.999539,0.004479,0.907330,108,0.131543,10,1.000000,332,2187,0.074669,0.656922,0.810507,0.082127,-10.876387,2.563636,0.000100
44,-0.666669,0.999701,0.004417,0.841461,108,0.114011,10,1.000000,358,2163,0.078218,0.738342,0.859268,0.084766,-10.079062,2.682406,0.000100
45,-0.682596,0.999790,0.004230,0.866312,103,0.118285,10,1.000000,336,2174,0.068601,0.627053,0.791867,0.090305,-10.393746,2.420184,0.000100
46,-0.715190,0.999679,0.004422,0.885460,103,0.114389,10,1.000000,341,2180,0.080390,0.691511,0.831571,0.097656,-10.815407,2.868640,0.000100
47,-0.769658,0.999496,0.004375,0.913908,99,0.114036,10,1.000000,310,2221,0.059021,0.579981,0.761565,0.082031,-11.779757,2.490764,0.000100
48,-0.713923,0.999729,0.004291,0.890934,103,0.106003,10,1.000000,337,2186,0.082887,0.564073,0.751048,0.078125,-10.917388,2.393777,0.000100
49,-0.755441,0.999547,0.004383,0.900152,101,0.133072,10,1.000000,304,2216,0.067888,0.646653,0.804147,0.078125,-11.554464,2.505925,0.000100
50,-0.754909,0.999738,0.004288,0.887655,103,0.122318,10,1.000000,273,2257,0.056928,0.557367,0.746570,0.078125,-11.603893,2.338866,0.000100
51,-0.690633,0.999760,0.004380,0.865339,104,0.113391,10,1.000000,304,2225,0.075570,0.546022,0.738933,0.082031,-10.498010,2.424475,0.000100
52,-0.726519,0.999771,0.004446,0.920899,103,0.104581,10,1.000000,285,2237,0.067321,0.580139,0.761669,0.074219,-11.216583,2.342788,0.000100
