episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,-1.026715,0.999368,0.005731,0.990688,203,0.004888,10,1.000000,1337,1210,-0.028791,0.888028,0.942353,0.070312,-15.766798,2.840624,0.000300
2,-1.206138,0.998116,0.006161,1.000000,225,0.003578,10,1.000000,1303,1225,-0.029291,0.653826,0.808595,0.050781,-18.431831,4.025571,0.000300
3,-1.078925,0.999053,0.005761,1.000000,187,0.001136,10,1.000000,1265,1277,-0.028064,0.622407,0.788928,0.042969,-16.373333,3.719078,0.000300
4,-1.203323,0.999328,0.006100,0.997188,203,0.008515,10,1.000000,1310,1227,-0.029312,0.508145,0.712843,0.070312,-18.460270,3.561723,0.000300
5,-1.410596,0.996430,0.006655,1.000000,224,0.008716,10,1.000000,1371,1158,-0.026659,0.538281,0.733676,0.058594,-21.745562,4.201073,0.000300
6,-0.889703,0.999189,0.005459,0.970637,159,0.000352,10,1.000000,1229,1317,-0.026910,0.729629,0.854183,0.043359,-13.267374,4.450712,0.000300
7,-1.123822,0.998987,0.006019,1.000000,192,0.006729,10,1.000000,1275,1270,-0.029525,0.520597,0.721524,0.058594,-17.094269,3.535030,0.000300
8,-1.002182,0.999072,0.005689,0.998621,174,0.000936,10,1.000000,1316,1221,-0.026454,0.409808,0.640162,0.023438,-15.112047,4.308541,0.000300
9,-0.789118,0.999346,0.005272,0.971202,162,0.002824,10,1.000000,1257,1290,-0.028708,0.396585,0.629750,0.000000,-11.647159,3.626564,0.000300
10,-0.917959,0.999384,0.005521,0.984497,178,0.002652,10,1.000000,1348,1189,-0.027244,0.718550,0.847673,0.019531,-13.855255,3.616380,0.000300
11,-0.659425,0.999719,0.004936,0.880361,143,0.000130,10,1.000000,1247,1299,-0.026628,0.277439,0.526725,0.011719,-9.611670,3.682150,0.000300
12,-0.691830,0.999398,0.004906,0.889015,137,0.000602,10,1.000000,1203,1339,-0.026927,0.271293,0.520858,0.000000,-10.081003,3.918870,0.000300
13,-0.633337,0.999664,0.004758,0.852096,140,0.000009,10,1.000000,1159,1390,-0.027383,0.308856,0.555749,0.007812,-9.174688,3.768340,0.000300
14,-0.691399,0.999502,0.004826,0.879506,127,0.000080,10,1.000000,1188,1362,-0.027133,0.254298,0.504279,0.007812,-10.203394,3.355063,0.000300
