episode,avg_return,success_proxy,delay_proxy,energy_proxy,edges,KL,m,rho_bar,deltaE_size,rejects,loss_pi,loss_v_mse,loss_v_rmse,value_clip_frac,ret_mean,ret_std,lr
1,-0.794382,0.999309,0.005144,0.984255,137,0.001862,10,1.000000,1157,761,-0.030100,0.812203,0.901223,0.090161,-11.971862,3.526443,0.000300
2,-0.634920,0.999689,0.004951,0.887827,145,0.000975,10,1.000000,1181,763,-0.027562,0.689207,0.830185,0.087109,-9.443096,2.842234,0.000300
3,-0.706261,0.999598,0.004961,0.916411,126,0.001326,10,1.000000,1212,716,-0.027612,0.792323,0.890125,0.075391,-10.542438,3.764930,0.000300
4,-0.696794,0.999626,0.005102,0.920352,131,0.000083,10,1.000000,1235,690,-0.027605,0.794464,0.891327,0.070703,-10.486794,3.622511,0.000300
5,-0.753142,0.999521,0.005198,0.935707,128,0.002969,10,1.000000,1212,717,-0.028570,0.704347,0.839254,0.015625,-11.398088,4.540849,0.000300
6,-0.519225,0.999790,0.004683,0.797691,133,0.002577,10,1.000000,1152,787,-0.025308,0.596175,0.772124,0.050781,-7.685914,2.646881,0.000300
7,-0.597841,0.999448,0.004689,0.826650,125,0.001925,10,1.000000,1129,798,-0.023356,0.345220,0.587555,0.000000,-8.868349,3.205050,0.000300
8,-0.524217,0.999813,0.004525,0.768689,121,0.010173,10,1.000000,1094,855,-0.021170,0.427626,0.653931,0.003906,-7.660523,3.131580,0.000300
9,-0.519306,0.999524,0.004501,0.769846,122,0.013592,10,1.000000,980,925,-0.015510,0.297688,0.545608,0.000000,-7.615990,3.069667,0.000300
10,-0.528398,0.999155,0.004526,0.763701,116,0.012634,10,1.000000,972,1002,-0.014602,0.557607,0.746731,0.015625,-7.813200,2.793887,0.000300
11,-0.503740,0.999600,0.004369,0.750407,108,0.024131,10,1.000000,855,1131,-0.000592,0.544457,0.737874,0.035547,-7.572575,2.468606,0.000300
12,-0.531123,0.999539,0.004351,0.767716,111,0.057812,10,1.000000,780,1256,0.029938,0.665157,0.815572,0.037500,-8.031137,2.515984,0.000240
13,-0.522932,0.999706,0.004324,0.755432,109,0.055261,10,1.000000,789,1230,0.012642,0.353645,0.594680,0.011719,-7.853889,2.745281,0.000192
14,-0.484452,0.999542,0.004249,0.727165,109,0.057085,10,1.000000,674,1353,0.029020,0.474617,0.688925,0.037500,-7.259254,2.405663,0.000154
15,-0.432067,0.999854,0.004247,0.701245,114,0.055266,10,1.000000,773,1285,0.027502,0.424018,0.651167,0.039062,-6.509057,2.126636,0.000123
16,-0.520439,0.999579,0.004232,0.751212,105,0.072597,10,1.000000,700,1322,0.023612,0.401019,0.633261,0.035156,-7.858674,2.512309,0.000100
17,-0.529226,0.999669,0.004310,0.746203,109,0.077347,10,1.000000,694,1373,0.021047,0.395969,0.629261,0.042969,-8.005736,2.519814,0.000100
18,-0.533225,0.999659,0.004221,0.764482,106,0.065963,10,1.000000,653,1430,0.025491,0.565572,0.752045,0.046875,-8.243722,1.833610,0.000100
19,-0.490514,0.999907,0.004235,0.727498,107,0.061125,10,1.000000,729,1339,0.030905,0.359214,0.599345,0.015625,-7.386427,2.822148,0.000100
20,-0.537127,0.999783,0.004190,0.772193,101,0.083738,10,1.000000,677,1449,0.031024,0.502582,0.708930,0.050391,-8.269270,1.980508,0.000100
21,-0.520969,0.999633,0.004209,0.747050,106,0.077375,10,1.000000,639,1422,0.043289,0.565972,0.752311,0.036328,-7.932483,2.538720,0.000100
22,-0.542664,0.999614,0.004225,0.772946,106,0.074285,10,1.000000,666,1458,0.038691,0.358496,0.598745,0.030859,-8.223359,2.576886,0.000100
23,-0.587321,0.999360,0.004230,0.778708,100,0.094324,10,1.000000,618,1540,0.044147,0.565411,0.751938,0.046094,-9.003596,2.387473,0.000100
24,-0.513613,0.999492,0.004183,0.719601,109,0.076856,10,1.000000,657,1468,0.054082,0.736618,0.858264,0.042969,-7.920848,2.177695,0.000100
25,-0.651486,0.999699,0.004240,0.851099,106,0.080169,10,1.000000,578,1584,0.045492,0.618761,0.786614,0.035937,-10.179088,2.480721,0.000100
26,-0.560581,0.999675,0.004273,0.762871,102,0.101464,10,1.000000,571,1649,0.061511,0.473356,0.688009,0.023438,-8.632388,2.840529,0.000100
